ID,p-factor,temperature,ls-ratio,ael,total-carbs,target,acqfn,batch,Tg,Degradation Tonset,Degradation T50%,Degradation Tmax,Mw,Mw + aggregates,RSI,Surface tension 0.5 mgml,Surface tension 0.4 mgml,Surface tension 0.25 mgml,Surface tension 0.1 mgml,Surface tension 0.08 mgml,b-O-4,chain-length
P250-160-0.25,250.0,160.0,0.25,1.59,29.7,init,sobol,0.0,,,,,,,6.26,,,,,,28.8,6.1
P625-178-1.13,625.0,177.5,1.125,12.9,6.4,init,sobol,0.0,127.23,,,,13.0,30.7,7.26,59.0066,60.6534,63.232,68.201,67.1844,15.6,3.4
P813-169-1.56,812.5,168.75,1.5625,12.08,4.45,init,sobol,0.0,122.79,,,,14.4,34.6,7.625,61.8214,63.0674,63.6016,67.1052,67.6504,12.15,2.6
P438-186-0.69,437.5,186.25,0.6875,9.35,25.8,init,sobol,0.0,,,,,,,6.28,,,,,,26.2,5.1
P531-173-1.34,531.25,173.125,0.134375,9.79,7.7,init,sobol,0.0,123.32,,,,10.0,17.5,6.95,58.492,59.905,63.3822,66.3214,66.917,17.5,4.0
P906-191-0.47,906.25,190.625,0.46875,11.489999999999998,22.9,init,sobol,0.0,112.27,,,,8.8,13.4,6.54,61.4958,62.8802,63.221,68.9998,66.6902,20.8,4.6
P719-164-0.9,718.75,164.375,0.90625,13.325,8.1,init,sobol,0.0,123.39,,,,13.0,35.9,7.445,60.089,61.5602,64.5484,68.3986,69.0188,12.85,2.15
P344-182-1.78,343.75,181.875,1.78125,8.765,11.25,init,sobol,0.0,,,,,6.8,8.9,6.91,,,,,,22.8,4.2
P391-171-0.8,390.625,170.9375,0.796875,7.970000000000001,20.55,init,sobol,0.0,120.31,,,,8.4,13.0,6.35,59.4108,60.5594,63.0242,66.9096,67.639,23.05,3.9
P766-188-1.67,765.625,188.4375,1.671875,12.345,4.75,init,sobol,0.0,123.61,,,,13.9,41.9,7.43,61.9562,60.0726,64.6048,68.6874,66.577,16.25,4.15
P953-162-1.23,953.125,162.1875,1.234375,12.41,2.05,init,sobol,0.0,,,,,,,7.835000000000001,,,,,,10.3,2.6
P578-180-0.36,578.125,179.6875,0.359375,6.41,26.35,init,sobol,0.0,112.23,,,,6.7,8.8,6.45,57.1646,59.9708,63.2672,66.8128,66.2384,23.85,4.949999999999999
P484-167-1.89,484.375,166.5625,1.890625,5.95,4.6,test,sobol,,118.81,,,,9.4,13.1,7.77,60.1812,62.2038,62.8836,67.8898,68.2556,16.6,4.4
P859-184-1.02,859.375,184.0625,1.015625,16.96,13.7,test,sobol,,127.41,,,,14.1,38.6,7.57,60.3266,62.2798,63.9978,67.182,68.2654,13.7,3.1
P271-164-0.48,270.6715948,163.5777784,0.483981738,4.79,28.4,test,,,,,,,4.5,4.9,5.71,,,,,,28.4,5.4
P320-161-1.99,320.2001818,160.5378247,1.993065353,6.2,24.2,ael,explore,1.0,,,,,,,6.76,,,,,,24.2,5.5
P888-167-1.14,887.9529588,166.8623509,1.13577165,13.02,4.6,test,,,127.74,,,,14.3,35.9,8.33,62.8932,64.518,66.3174,69.7706,69.9702,12.3,2.4
P256-195-2.00,258.9189901,195.0,2.0,6.35,20.4,total-carbs,explore,1.0,116.39,,,,5.0,5.6,5.63,56.3574,56.8204,59.5512,64.5962,61.2392,33.6,7.2
P672-175-0.58,671.875,175.3125,0.578125,14.92,10.1,test,sobol,,129.2,,,,13.6,28.5,7.69,63.4826,63.9286,63.3236,66.3714,68.4104,14.4,4.1
P297-193-1.45,296.875,192.8125,1.453125,7.31,14.2,test,sobol,,121.72,,,,6.1,7.9,6.2,58.2056,59.0136,61.875,64.448,64.4256,28.6,6.0
P787-173-1.01,786.9570758,172.5097986,1.00805243,14.46,3.2,ael,elcb,1.0,133.82,,,,13.9,42.2,7.92,61.4222,63.2036,65.7802,68.611,69.037,11.5,4.0
P621-167-1.37,621.1139376,167.4288644,1.366243629,10.76,6.0,ael,elcb,1.0,122.9,,,,10.1,22.6,7.05,59.56,59.6234,61.1682,66.4054,65.5592,13.1,2.2
P539-184-0.37,538.6110584,184.3695759,0.373508593,8.31,29.6,total-carbs,elcb,1.0,115.22,,,,,,5.73,60.6556,62.0616,64.5166,66.308,68.1932,25.7,5.8
P281-164-0.50,280.711394,163.8586053,0.502976469,5.82,30.2,total-carbs,elcb,1.0,115.27,,,,9.9,10.8,6.48,57.4194,58.5452,61.0356,64.6572,64.0796,26.6,6.1
P883-168-0.41,882.8125,167.65625,0.4140625,14.03,3.3,test,sobol,,95.75,,,,14.8,47.2,7.1,61.392,61.9462,63.7866,68.5576,68.2464,12.9,4.7
P508-185-1.29,507.8125,185.15625,1.2890625,15.66,12.9,test,sobol,,112.37,,,,12.1,25.6,7.07,63.7256,64.2404,66.616,69.8444,70.3724,17.3,3.8
P850-182-1.23,849.8459377,181.5121346,1.226986233,11.61,14.3,ael,elcb,2.0,123.33,,,,8.1,13.4,7.86,60.809,61.746,62.928,66.2494,67.8646,19.8,3.5
P915-167-0.69,915.4779716,166.5540869,0.688555309,14.23,10.1,ael,elcb,2.0,120.73,,,,13.5,30.1,8.2,62.3562,62.387,66.0425,69.3886,69.365,12.4,2.8
P250-195-0.25,250.0,195.0,0.25,0.88,39.5,ael,explore,2.0,,,,,,,,,,,,,28.2,7.7
P250-160-0.89,250.0,160.0,0.887930034,6.0,19.8,total-carbs,elcb,2.0,93.93,,,,6.0,7.0,5.67,56.4662,56.9732,61.052,65.288,67.1006,25.0,5.5
P852-183-0.25,852.2113265,182.5334609,0.25,6.98,28.6,total-carbs,elcb,2.0,95.89,,,,6.2,7.0,5.16,58.0214,58.8538,61.1108,66.6374,66.6204,22.3,7.7
P1000-179-2.00,1000.0,179.2743479,2.0,12.38,4.0,total-carbs,explore,2.0,116.05,,,,12.0,27.4,8.17,61.3938,62.8634,65.6424,69.204,67.961,12.1,2.8
P1000-195-1.32,1000.0,195.0,1.317605295,19.8,2.5,ael,elcb,3.0,114.45,,,,13.7,42.0,7.06,64.1854,64.867,67.1988,68.124,69.5886,11.3,4.7
P1000-160-0.25,1000.0,160.0,0.25,11.93,15.4,ael,elcb,3.0,108.85,,,,10.1,16.9,6.57,60.439,61.0692,63.7208,69.799,69.0208,13.6,4.5
P250-172-2.00,250.0,171.5408089,2.0,6.34,12.9,ael,explore,3.0,105.73,,,,,,6.69,53.6508,57.7728,59.761,60.5386,66.5252,24.3,5.2
P250-183-0.40,250.0,182.9472839,0.400381005,3.33,45.3,total-carbs,elcb,3.0,93.99,,,,,,5.53,51.8344,55.7794,57.8548,61.9742,63.2512,33.1,6.7
P298-195-0.46,298.4473971,195.0,0.4640535,4.25,38.0,total-carbs,elcb,3.0,,,,,,,3.73,,,,,,31.6,7.0
P250-195-1.23,250.0,195.0,1.2317319,5.59,21.5,total-carbs,explore,3.0,94.91,,,,5.7,6.5,4.51,53.7846,56.5062,59.7244,63.1644,63.533,31.9,7.0
P602-163-1.07,601.5625,163.28125,1.0703125,9.53,11.4,test,sobol,,101.26,,,,,,8.1,58.4282,60.7504,64.3468,69.0208,68.2306,13.0,2.0
P977-181-1.95,976.5625,180.78125,1.9453125,13.38,4.2,test,sobol,,114.3,,,,11.7,23.5,8.52,60.0206,60.2626,63.8036,68.9828,68.7096,12.3,2.7
P1000-195-0.96,1000.0,195.0,0.959834932,17.91,5.0,ael,elcb,4.0,126.36,,,,17.0,46.7,6.88,60.0066,60.0834,62.3302,65.904,64.4996,13.8,4.9
P1000-195-1.61,1000.0,195.0,1.606669414,15.02,3.5,ael,elcb,4.0,124.55,,,,16.1,57.9,7.07,58.6476,59.765,62.8098,67.5148,67.7946,13.4,4.4
P557-195-2.00,556.8861833,195.0,2.0,9.65,10.1,ael,explore,4.0,112.3,,,,8.1,10.8,6.87,54.0538,55.052,58.4676,63.533,62.9454,23.9,5.2
P250-182-0.28,250.0,181.5796005,0.2753653,1.94,60.1,total-carbs,elcb,4.0,,,,,,,,,,,,,32.0,6.2
P250-184-0.43,250.0,183.9207601,0.429395856,2.07,53.3,total-carbs,elcb,4.0,,,,,,,,,,,,,34.7,7.1
P685-160-2.00,685.2078545,160.0,2.0,9.43,8.8,total-carbs,explore,4.0,120.13,,,,17.5,28.6,7.05,58.174,57.9712,60.9458,65.4624,66.4726,12.7,1.5
P789-172-1.51,789.0625,172.03125,1.5078125,11.81,2.7,test,sobol,,126.9,,,,15.3,37.8,7.14,60.5516,62.0022,63.4286,67.3772,67.9528,10.9,3.4
P414-190-0.63,414.0625,189.53125,0.6328125,3.84,29.5,test,sobol,,116.35,,,,,,5.35,58.59,59.0746,61.574,65.7738,65.7536,32.4,6.8
P1000-195-1.20,1000.0,195.0,1.196819487,15.51,6.3,ael,elcb,5.0,125.05,,,,,,8.17,60.2668,56.5196,60.2158,63.55,64.5564,14.0,3.2
P948-195-1.13,948.3255703,195.0,1.132411801,15.85,5.8,ael,elcb,5.0,129.61,,,,,,7.78,61.7976,62.4862,64.2326,67.832,68.0832,14.0,4.2
P463-195-1.34,463.4644385,195.0,1.339870967,8.02,10.6,ael,explore,5.0,122.32,,,,,,6.88,57.6172,58.6422,61.1922,62.6568,63.7984,23.7,6.0
P250-176-0.25,250.0,176.4575001,0.25,0.64,32.4,total-carbs,elcb,5.0,,,,,,,,,,,,,28.0,9.9
P695-195-0.25,695.2068727,195.0,0.25,1.08,24.7,total-carbs,elcb,5.0,,,,,,,,,,,,,25.6,8.4
P1000-160-2.00,1000.0,160.0,2.0,10.27,1.9,total-carbs,explore,5.0,126.54,,,,,,6.88,62.7718,63.6774,66.266,68.4994,69.371,8.9,3.4
P849-178-0.77,849.3605913,178.2278814,0.766087351,14.05,7.8,test,sobol,,130.6,,,,,,8.59,62.9788,59.6308,65.8988,65.4324,67.157,13.3,4.1
P291-177-1.82,290.873595,176.547871,1.81832474,5.54,11.1,test,sobol,,122.24,,,,,,6.26,59.3268,60.0886,62.813,64.5008,65.529,25.9,6.6
P878-195-0.82,878.4986533,195.0,0.818147329,15.1,8.2,ael,elcb,6.0,129.76,,,,,,6.55,64.0056,64.0584,64.1976,67.0898,68.345,16.1,5.0
P1000-195-0.73,1000.0,195.0,0.725698719,13.08,9.5,ael,elcb,6.0,122.84,,,,,,6.59,61.5332,61.1896,62.858,66.4652,66.1046,17.6,5.3
P250-160-1.48,250.0,160.0,1.480434165,4.99,8.7,ael,explore,6.0,,,,,,,5.67,,,,,,22.83,5.5
P546-160-1.71,546.1376946,160.0,1.709082479,9.02,3.5,ael,explore,6.0,121.3,,,,,,6.62,61.6044,62.017,64.9198,66.9106,66.9966,12.8,3.5
P250-181-0.25,250.0,180.582093,0.25,0.48,32.4,total-carbs,elcb,6.0,,,,,,,,,,,,,27.7,12.0
P250-185-1.26,250.0,184.50965,1.258470852,7.14,8.7,total-carbs,elcb,6.0,123.07,,,,,,6.03,60.7016,60.6104,62.0834,66.6948,66.7846,23.9,6.3
P265-192-2.00,265.3823446,191.5182722,2.0,5.24,9.7,total-carbs,explore,6.0,121.33,,,,,,3.64,59.5464,60.287,62.7638,64.942,64.965,27.9,6.8
P319-175-2.00,318.9997054,174.8103766,2.0,6.12,8.6,total-carbs,explore,6.0,118.97,,,,,,6.52,59.5916,59.1236,61.3142,65.2016,64.9356,23.2,5.9
P1000-185-1.15,1000.0,184.9658118,1.147356965,18.72,3.1,ael,elcb,7.0,130.94,,,,,,7.88,62.021,65.5278,66.6678,68.0856,68.568,9.2,2.3
P993-195-1.24,992.6304538,195.0,1.241311537,18.3,3.6,ael,elcb,7.0,129.22,,,,,,7.26,60.9316,63.5004,64.5952,66.59,68.8416,12.6,4.3
P728-160-0.25,728.0504754,160.0,0.25,10.26,21.0,ael,explore,7.0,117.29,,,,,,7.83,60.8988,62.3658,64.9466,59.9134,66.6584,16.9,5.5
P840-195-2.00,839.5317857,195.0,2.0,14.13,3.4,ael,explore,7.0,122.25,,,,,,7.09,61.313,61.7676,63.3594,68.564,69.0998,13.1,4.5
P250-187-0.44,250.0,187.4900004,0.440413926,2.11,46.3,total-carbs,elcb,7.0,,,,,,,,,,,,,32.7,8.7
P250-187-0.43,250.0,187.3939893,0.426081676,2.89,48.7,total-carbs,elcb,7.0,,,,,,,,,,,,,33.5,8.5
P1000-195-0.25,1000.0,195.0,0.25,3.4,42.2,total-carbs,explore,7.0,93.23,,,,,,6.12,58.1892,59.1498,61.9888,66.5504,67.8396,26.4,9.9
P605-195-0.90,605.2120401,195.0,0.896445697,10.41,19.3,total-carbs,explore,7.0,,,,,,,5.54,,,,,,25.3,5.4
